gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent,Mean_Pct,Diff,Total_Muts
KAT6A,3,0,3,0.0,26,2,24,7.6923076923076925,3.8461538461538463,7.6923076923076925,29
ZBTB41,3,0,3,0.0,26,2,24,7.6923076923076925,3.8461538461538463,7.6923076923076925,29
FBRSL1,3,0,3,0.0,13,1,12,7.6923076923076925,3.8461538461538463,7.6923076923076925,16
ZFP64,3,0,3,0.0,13,1,12,7.6923076923076925,3.8461538461538463,7.6923076923076925,16
GON4L,3,0,3,0.0,13,1,12,7.6923076923076925,3.8461538461538463,7.6923076923076925,16
HECTD1,5,0,5,0.0,25,2,23,8.0,4.0,8.0,30
KMT2D,6,0,6,0.0,24,2,22,8.333333333333332,4.166666666666666,8.333333333333332,30
ARHGEF17,4,0,4,0.0,12,1,11,8.333333333333332,4.166666666666666,8.333333333333332,16
TBCE,3,0,3,0.0,12,1,11,8.333333333333332,4.166666666666666,8.333333333333332,15
NUP160,3,0,3,0.0,12,1,11,8.333333333333332,4.166666666666666,8.333333333333332,15
SYNE2,3,0,3,0.0,81,7,74,8.641975308641975,4.320987654320987,8.641975308641975,84
WDFY3,5,0,5,0.0,45,4,41,8.88888888888889,4.444444444444445,8.88888888888889,50
NBPF1,4,0,4,0.0,44,4,40,9.090909090909092,4.545454545454546,9.090909090909092,48
RTEL1,4,0,4,0.0,11,1,10,9.090909090909092,4.545454545454546,9.090909090909092,15
SENP7,3,0,3,0.0,11,1,10,9.090909090909092,4.545454545454546,9.090909090909092,14
PCDHGB3,3,0,3,0.0,11,1,10,9.090909090909092,4.545454545454546,9.090909090909092,14
TAP2,3,0,3,0.0,11,1,10,9.090909090909092,4.545454545454546,9.090909090909092,14
EXT1,3,0,3,0.0,11,1,10,9.090909090909092,4.545454545454546,9.090909090909092,14
ZMYM6,3,0,3,0.0,11,1,10,9.090909090909092,4.545454545454546,9.090909090909092,14
VPS13A,3,0,3,0.0,43,4,39,9.30232558139535,4.651162790697675,9.30232558139535,46
SYNE1,8,0,8,0.0,105,10,95,9.523809523809524,4.761904761904762,9.523809523809524,113
CLTC,4,0,4,0.0,42,4,38,9.523809523809524,4.761904761904762,9.523809523809524,46
LYST,3,0,3,0.0,42,4,38,9.523809523809524,4.761904761904762,9.523809523809524,45
TNC,4,0,4,0.0,21,2,19,9.523809523809524,4.761904761904762,9.523809523809524,25
NUP205,4,0,4,0.0,21,2,19,9.523809523809524,4.761904761904762,9.523809523809524,25
COL4A1,4,0,4,0.0,21,2,19,9.523809523809524,4.761904761904762,9.523809523809524,25
LRRFIP1,3,0,3,0.0,21,2,19,9.523809523809524,4.761904761904762,9.523809523809524,24
UTRN,4,0,4,0.0,52,5,47,9.615384615384617,4.807692307692308,9.615384615384617,56
TMEM131,3,0,3,0.0,31,3,28,9.67741935483871,4.838709677419355,9.67741935483871,34
DST,5,0,5,0.0,72,7,65,9.722222222222223,4.861111111111112,9.722222222222223,77
COL4A5,5,0,5,0.0,30,3,27,10.0,5.0,10.0,35
EHBP1L1,4,0,4,0.0,10,1,9,10.0,5.0,10.0,14
RERE,4,0,4,0.0,10,1,9,10.0,5.0,10.0,14
SCAF11,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
FNIP2,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
LRRK1,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
DCAF13,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
KIF11,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
PCDHGA3,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
TEX2,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
PRRC2C,8,0,8,0.0,29,3,26,10.344827586206897,5.172413793103448,10.344827586206897,37
TRRAP,5,0,5,0.0,48,5,43,10.416666666666668,5.208333333333334,10.416666666666668,53
CENPF,6,0,6,0.0,19,2,17,10.526315789473683,5.263157894736842,10.526315789473683,25
MYH9,5,0,5,0.0,19,2,17,10.526315789473683,5.263157894736842,10.526315789473683,24
DIP2A,3,0,3,0.0,19,2,17,10.526315789473683,5.263157894736842,10.526315789473683,22
