Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Silenced
RNF148,0,0,0,0,3,0,0,0,0,3
SACS,0,0,0,0,2,1,0,0,0,3
FBN2,0,0,0,0,3,0,0,0,0,3
FCGBP,0,0,0,0,3,0,0,0,0,3
ABCA9,0,0,0,0,3,0,0,0,0,3
ABCB1,0,0,0,0,3,0,0,0,0,3
ABCC2,0,0,0,0,3,0,0,0,0,3
ABCC8,0,0,0,0,3,0,0,0,0,3
ZNF844,0,0,0,0,3,0,0,0,0,3
FRMPD1,0,0,0,0,3,0,0,0,0,3
FRY,1,0,0,0,1,1,0,0,0,3
ZNF630,1,0,0,0,2,0,0,0,0,3
ZNF215,0,0,0,0,2,0,0,0,0,2
ZNF804A,0,0,0,0,2,0,0,0,0,2
ZNF730,0,0,0,0,2,0,0,0,0,2
ACAN,0,0,0,0,2,0,0,0,0,2
ACACB,0,0,0,0,2,0,0,0,0,2
FRMPD4,0,0,0,0,2,0,0,0,0,2
FRMD1,0,0,0,0,2,0,0,0,0,2
ZNF850,0,0,0,0,2,0,0,0,0,2
ABCC9,0,0,0,0,2,0,0,0,0,2
GABBR2,0,0,0,0,2,0,0,0,0,2
FCRL5,0,0,0,0,2,0,0,0,0,2
FGD1,0,0,0,0,2,0,0,0,0,2
FMO3,0,0,0,0,2,0,0,0,0,2
FOXA2,0,0,0,0,2,0,0,0,0,2
GABRB2,0,0,0,0,1,1,0,0,0,2
GABRE,0,0,0,0,2,0,0,0,0,2
GABRP,0,0,0,0,2,0,0,0,0,2
ARHGAP6,0,0,0,0,2,0,0,0,0,2
ARHGEF15,0,0,0,0,2,0,0,0,0,2
TLR7,0,0,0,0,2,0,0,0,0,2
TMC2,0,0,0,0,2,0,0,0,0,2
TMC7,0,0,0,0,2,0,0,0,0,2
TMEM132B,0,0,0,0,2,0,0,0,0,2
TMEM143,0,0,0,0,2,0,0,0,0,2
